,姓名,性别,rank,face,spacesta,生日,签名,等级,官方验证类型,官方验证描述,vip类型,vip状态,toutu,toutuID,coins,关注数,粉丝数
﻿1864366,黑哲君,保密,10000,http://i0.hdslb.com/bfs/face/0053321a0ec1e53824b8fc0ab8297469c9ce2816.jpg,0,03-15,"骚还是你们骚 帅还是我帅
",6,0,bilibili直播签约主播,1,1,bfs/space/400c3a3c204ff925fc92e77d71aefbf6115a9729.png,2109661,0,23,169807
﻿375375,伊丽莎白鼠,,10000,http://i2.hdslb.com/bfs/face/6c36ec15f6d7ddd9bdb558511521bd0256779e1c.jpg,0,nobirthday,一个热爱鬼畜的普通人。微博：@伊丽莎白鼠  weibo.com/LittleWhiteMouse ,6,0,2015夏夜鬼畜大赏第一名，鬼畜UP主，代表作《如何让孩子爱上学习》《挖掘机技术哪家强》,1,0,bfs/space/dc02d22a718c1c436f1a355b3cd726b04098ef7d.jpg,6,0,30,2658725
﻿7714,女孩为何穿短裙,保密,10000,http://i1.hdslb.com/bfs/face/5ea9e99fe79418fff79f4601f13c855ce0f6162b.gif,0,10-31,虽然简介想说点什么，但实在不知道说什么~既然不知道说什么，那我也不知道在这里写什么~微博@女孩为何穿短裙,6,0,bilibili 知名UP主,2,1,bfs/space/aea2dd7b8894ce31d578d4fad6a7188c7b49cb2f.jpg,15,0,152,1186462
﻿1706344,昔日友人,男,10000,http://i0.hdslb.com/bfs/face/7bb7d33100bee2f5f9352f6a280bfe42a0807c6b.jpg,0,07-04,"欢迎加入聊天群 458179315 
商务合作请联系：3263017381",6,0,bilibili知名UP主,2,1,bfs/space/56c08a1f8911a3d4b49358b4b8ac2ae3a83a0b00.png,1050035,0,160,226893
﻿168598,逍遥散人,男,10000,http://i2.hdslb.com/bfs/face/d0dad8800774a4903547b1326d1fd927df47b4e9.jpg,0,02-05,快乐weibo.com/xysanren,6,0,bilibili知名UP主，代表作《散人干不死》系列,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,27,1366479
﻿13705279,睡不醒的某某阳,男,10000,http://i1.hdslb.com/bfs/face/a198ab1e6fc7e33480af5b4c989fd4092d154e7e.jpg,0,02-04,白天睡不醒 | 晚上睡不着,6,0,"bilibili直播签约主播
",2,1,bfs/space/f5d38e2af44fd12fa65423aff55933fcf9071419.jpg,12,0,65,401100
﻿14308645,37不是37,,10000,http://i2.hdslb.com/bfs/face/d7b5e23b8ad7140240fd1ed132c180420ae5b54a.jpg,0,nobirthday,微博：37不是37 37直播通知群【禁言】:152923755,5,0,"bilibili直播签约主播
",1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,25,88489
﻿6810019,AnKe-Poi,男,10000,http://i2.hdslb.com/bfs/face/ae8aea930b21e86a83313dd3ad12cd8192e8bf49.jpg,0,09-11,在下安可，天天Poi~,6,0,bilibili直播签约主播,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,24,277340
﻿183430,两仪滚,男,10000,http://i0.hdslb.com/bfs/face/4a91427ef035836b1937244bc559ed03f244bfa9.jpg,0,06-28,"微勃：http://weibo.com/Sabertan求关注
粉丝2群 561402530 3群  64244043",6,0,bilibili 知名游戏UP主，直播签约主播,1,1,bfs/space/c9dae917e24b4fc17c4d544caf6b6c0b17f8692b.jpg,3,0,48,455671
﻿1643718,山下智博,男,10000,http://i2.hdslb.com/bfs/face/b4b829bce2bb01c89a62a85e4d422e3d3abd0ae3.jpg,0,01-01,山下的新浪微博 http://weibo.com/u/2979392192　微信号：shanxiazhibo,6,1,山下智博频道 官方账号,2,1,bfs/space/41d3dff0882fdbc6915a044d37dfde6f8449645f.png,2389815,0,42,1891625
﻿7151101,SING女团,女,10000,http://i2.hdslb.com/bfs/face/c2758ede7d9d41a20a7dd0b9e60b44eb3f015834.jpg,0,09-09,SING女团官方账号～ 团综及通告视频指路UP主：SING女团视频组～ 组合官方微博：@SING女团～,6,1,SING女团（繁星少女组）官方账号,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,11,210675
﻿20848957,风竹教主解说,保密,10000,http://i0.hdslb.com/bfs/face/288f13d1f589a3d6386d022044fbc10b705cab4f.jpg,0,01-01,教主赛高！,4,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,54,206620
﻿204010957,丛林之家,男,10000,http://i0.hdslb.com/bfs/face/89e747699addc103be90798e955b57f174d1cb2f.jpg,0,03-26,波波带你体验不一样的美食！,6,0,bilibili 知名美食UP主,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,14,196653
﻿20948673,Golden绝不轻易狗带,男,10000,http://i2.hdslb.com/bfs/face/6f420a8f3e5fe0883494528577d91842d5756b2a.jpg,0,07-07,被音乐耽误的游戏主播～ b站直播时段 18:30 - 23:30 微博：@Golden_狗袋,6,-1,,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,22,220711
﻿52250,视角姬,男,10000,http://i2.hdslb.com/bfs/face/851025ed4bc57ad6ae82a6314e72e249fd21d604.jpg,0,12-20,VR玩家，氪金手游爱好者，微博@视角姬、@视角妹，周末晚B站直播,6,0,bilibili 知名UP主,2,1,bfs/space/880248d22cc8b8a37a587c554f0e00b0910466c7.png,422423,0,121,1120804
﻿6336952,老李船长,男,10000,http://i1.hdslb.com/bfs/face/4581a9522ebc04a78d00e4605960a786d82ca5c9.jpg,0,11-05,哈哈哈 我来b站了啊啊啊  大家可以点下关注嘛 顺便新浪微博@老李船长LiBoJun,6,-1,,1,0,bfs/space/1f4eaf70d1bb981f6057b3e440249d7a1f65774f.jpg,4,0,54,88196
﻿2728123,抽风CRAZY,男,10000,http://i2.hdslb.com/bfs/face/7cb6ae115319735de9c45d4b39d6d917a51419e8.jpg,0,07-06,"胀气游戏解说！！

新浪微博@抽风crazy ",6,0,bilibili 直播签约主播,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,42,592966
﻿419220,神奇陆夫人,男,10000,http://i2.hdslb.com/bfs/face/ad2f08dd806b0da46039bb2fd737eb5855924c80.jpg,0,10-23,盯... ...,6,0,bilibili知名UP主,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,1,989141
﻿1473830,AIchannel搬运,男,10000,http://i1.hdslb.com/bfs/face/c7fb49832d6d3f548f2c6c754f775f95834fa908.jpg,0,05-12,游戏合集在收藏夹里 绊爱粉丝交流群 二群：600132151,6,-1,,2,1,bfs/space/359fc6fef17ae0a15df4e4f98bd37ca3f18bdf44.png,1366223,0,35,670484
﻿322892,痒局长,保密,10000,http://i0.hdslb.com/bfs/face/bcdf640faa16ebaacea1d4c930baabaec9087a80.jpg,0,04-29,想成为全能一体机|微博：http://weibo.com/93yadashi,6,0,bilibili 知名UP主,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,26,1536729
﻿8578857,谷阿莫,男,10000,http://i1.hdslb.com/bfs/face/e21784d061d071d70c201d10bd17c0c8bf4ff227.jpg,0,01-01,來這邊只是聽我說一個我喜歡的故事，我不評論故事原本的含意或導演拍攝的用意，因為那些東西每個人都有不同的看法，謝謝,6,0,bilibili知名UP主,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,1,2126314
﻿863092,提不起劲的小明同学,男,10000,http://i2.hdslb.com/bfs/face/0c2e5e13426b46acde559de2879c4ce30d1aabc1.jpg,0,06-16,微博：@提不起劲的小明同学 直播聊天群：118961684 禁言通知群：655026 489  bilibili直播间号:629,6,0,"bilibili直播签约主播
",2,1,bfs/space/ef1b08e62fdc35b06e39795bc6de8e510935bf97.jpg,9,0,98,149140
﻿137257508,键位消食片,男,10000,http://i1.hdslb.com/bfs/face/7acad3e7cb1182da5152b60c233ea8701457d86e.jpg,0,05-03,二狗汪汪汪,5,-1,,1,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,37,16673
﻿15773384,bilibili电影,,10000,http://i2.hdslb.com/bfs/face/60a9153609998b04301dc5b8ed44c41b537a2268.jpg,0,nobirthday,,6,1,bilibili电影 官方账号,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,36,1438410
﻿2058048,逍遥小枫,男,10000,http://i2.hdslb.com/bfs/face/00ad00878db3ea72a35cb2ee92d59e2146812c5a.jpg,0,02-08,不务正业的游戏UP主....,6,-1,,1,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,55,206587
﻿3101867,着迷獣耳娘的jie,男,10000,http://i1.hdslb.com/bfs/face/93e646b30e91eec96b625d3c350c07612a2fa80e.jpg,-2,08-06,,6,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,31,36930
﻿437038,F是益生菌,男,10000,http://i1.hdslb.com/bfs/face/56384c4b0ccea15e1f96c20fd3942d4d4009c9ab.jpg,0,10-14,,5,-1,,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,15,104625
﻿55354207,kaixin爱笑爱生活,,10000,http://i2.hdslb.com/bfs/face/1542d5222a63f4f9535efd264abf20cd5a95e899.jpg,0,nobirthday,访问http://kaixin1314.cc可以观看UP在B站多个直播间视频,4,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,7,62575
﻿56120460,kaixin爱笑爱生活-电影1,男,10000,http://i2.hdslb.com/bfs/face/2d9e73b8f1d6443d335c66bcb4e7526a623b11e7.jpg,0,01-01,微信公众号：kaixindsk 微博：kaixin爱笑爱生活,3,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,6,43605
﻿19707743,制簪人蝉蝉,男,10000,http://i2.hdslb.com/bfs/face/bac0a0e5dee7fb2671ece3344e7f08128b19c13b.jpg,0,01-16,直播只是为了休闲，不能被直播所累。,4,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,21,49380
﻿486183,排骨教主,保密,10000,http://i2.hdslb.com/bfs/face/0c859785660c90cc8620f0a98d3b21cf91175de3.jpg,0,10-09,关注我的微博@排骨教主,6,0,bilibili知名UP主,2,1,bfs/space/718eac8c71e29b8a80431c46110805c3a40e30a6.jpg,7,0,56,1882302
﻿1605721,允星河Yoseya,男,10000,http://i0.hdslb.com/bfs/face/6cb9655aa1d012cb49b8645835a00b543ba7393d.jpg,0,04-01,可悲之人，盲目跟风。,6,0,"bilibili知名UP主、直播签约主播
",2,1,bfs/space/4c0417010f7ed9a3586e12ad2e6e084c68363825.png,2394065,0,77,1024710
﻿8203920,沐帮主,男,10000,http://i0.hdslb.com/bfs/face/13cd4a646ac97cdfe18efc454d4f2a96d74e163a.jpg,0,02-13,"老实的沐帮主，从来不胡说八道。
微博：http://weibo.com/mubangzhu ",6,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,40,561382
﻿14638431,绿雏Extant,保密,10000,http://i1.hdslb.com/bfs/face/3c80a2c3701a51a304249fd1c54d6d5ec534cfc6.jpg,0,10-23,大号：白雏Extant 此帐号搬运所有视频均获得原视频主许可搬运 长期搬运《果子哥哥》系列,5,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,6,21576
﻿39247212,酷酷的滕,,10000,http://i0.hdslb.com/bfs/face/f92598ead7200fccaf1a406f809c5a2e0686b168.jpg,0,nobirthday,微博：酷酷的滕 商务合作邮箱：kukudetenggen@163.com,6,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,8,593977
﻿32606879,果子哥哥工作室,,10000,http://i2.hdslb.com/bfs/face/3207eb734d67495ab49d94ec48ba22376bba770c.jpg,0,nobirthday,网络视频配音红人 代表作品《重庆方言版蜡笔小新、葫芦娃》等 微博签约自媒体,6,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,0,364076
﻿2829782,何必Hebee,男,10000,http://i0.hdslb.com/bfs/face/08032c6289096a9e6869a5cd5c05280060b10532.jpg,0,09-12,微博:weibo.com/5827741077/ 感谢你们的关注。没关注的等会我就求求你！! 商业合作请私信~,6,0,bilibili知名UP主,2,1,bfs/space/1f4eaf70d1bb981f6057b3e440249d7a1f65774f.jpg,4,0,98,307936
﻿11456017,默mo111,男,10000,http://i1.hdslb.com/bfs/face/3fa607ad5f54bd643e31728edc9cc8e86220b1d3.jpg,0,03-05,欢迎大家持续关注，以后会搬运更多精彩的英雄联盟视频内容~ 群:194893995,6,0,bilibili 知名游戏UP主,2,1,bfs/space/aea2dd7b8894ce31d578d4fad6a7188c7b49cb2f.jpg,15,0,153,109898
﻿22481834,喵爪ooMoo,保密,10000,http://i0.hdslb.com/bfs/face/2175f45420a64837e8ea825fa9fcdf57d369ae07.jpg,0,07-20,古筝演奏，曲谱等资源：微博@喵爪ooMoo 谢谢关注！,6,-1,,1,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,52,14409
﻿777536,LexBurner,男,10000,http://i1.hdslb.com/bfs/face/2996e22a24eed2d7767e452627a9130207defe6a.jpg,0,11-22,"新浪微博：http://weibo.com/lexburner
",6,0,bilibili知名UP主，代表作Lex吐槽系列,2,1,bfs/space/ff3b0882e55c1099738e59616e5956ad357d9948.jpg,10,0,28,3109623
﻿2787081,kacikaci小当家,保密,10000,http://i2.hdslb.com/bfs/face/311aaa51459ab927b87600e6b10b0d652ef0729f.jpg,0,01-01,一个年更动态up主,6,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,55,75672
﻿1532165,papi酱,保密,10000,http://i1.hdslb.com/bfs/face/e45a7b248f496fad8b32d3b9cfa0335339331798.jpg,0,01-01,微博关注：papi酱 微信订阅：dapapi,6,0,bilibili知名搞笑UP主,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,43,3509565
﻿1565155,起小点是大腿,男,10000,http://i0.hdslb.com/bfs/face/94b65197150887e1bc1671be6598d7fd2ea3132b.jpg,0,01-01,微博：@起小点是大腿 微信：是大腿 合作邮箱：bd@shidatui.com 意见邮箱：jiemu@shidatui.com,6,-1,,2,1,bfs/space/3d4a9811adbc3198407a61e64ba893906ddc66df.png,20613,0,91,1933015
﻿295723,★⑥檤轮囬★,男,10000,http://i0.hdslb.com/bfs/face/ae16880a3ccba26a2461a04b31ab7f98061cc576.jpg,0,05-30,新浪微博：土豆六道（http://weibo.com/liudao）,6,0,bilibili知名UP主,1,1,bfs/space/eeae6e803a34cd14bbd6b4bec7f6f49256a727b2.png,1817238,0,0,1080707
﻿25964988,王者荣耀丨黄员外,男,10000,http://i1.hdslb.com/bfs/face/7eefc21d9e1f73f3c26e9be48b9cbd3119a58ed4.jpg,0,03-22,会段子的UP主。每天晚上8-9点开播 每天不定期更新段子,4,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,5,17863
﻿122879,敖厂长,,10000,http://i1.hdslb.com/bfs/face/156d5d3b3f4b66d940365b3b0e3a809e1fcc0d97.jpg,0,nobirthday,我的微博:weibo.com/hawkao,6,0,网络视频《囧的呼唤》系列作者，一位进行游戏娱乐解说的网络播客，喜欢对单机游戏进行恶搞讲解，挖掘单机游,2,1,bfs/space/dc02d22a718c1c436f1a355b3cd726b04098ef7d.jpg,6,0,0,3546513
﻿79415852,办公室小野,女,10000,http://i1.hdslb.com/bfs/face/8b5166ed19990b9b09f31cdab49a9fc76bbde02e.jpg,0,03-23,微博@办公室小野 合作VX：z111t333，添加请备注信息。,6,1,办公室小野官方账号,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,11,409847
﻿3766207,陆齐生,保密,10000,http://i2.hdslb.com/bfs/face/19023a6331b113b4d6e5384eace34cfae584b798.jpg,0,01-01,"视频本就是娱乐，B站直播间：70937
微博账号：陆齐生-神黑
每天下午5点直播到10点左右",6,-1,,1,1,bfs/space/aea2dd7b8894ce31d578d4fad6a7188c7b49cb2f.jpg,15,0,202,93379
